"Ramo              ";"Razao             ";"Endereco          ";"Bairro            ";"CEP               ";"Cidade            ";"UF                ";"Contato           ";"Funcionarios      ";"Telefone          ";"Fax               ";"Site              ";"E-mail            ";"Produtos          "
"COURO ";" ATITUDE VLL IND. E COM. LTDA. ";" R. São Felix do Piauí, 1220 ";" Vl. Carmosina ";" 08295-030 ";" São Paulo ";" SP ";" Dir. Pres.: Luiz Carlos Lingiardi ";" ";" (0xx11) 6523-1744 ";" (0xx11) 6523-1744 ";" www.lingiardi.com.br ";" atitude@lingiardi.com.br ";" Artigos de couro; "
"COURO ";" BÉRGAMO BOLSAS IND. E COM. LTDA. ";" R. Pedro Bellegarde, 215 ";" Tatuapé ";" 03084-000 ";" São Paulo ";" SP ";" Cont. Coml.: Robson Vivi ";35;" (0xx11) 2294-4133 ";" (0xx11) 2294-4133 ";" www.bergamobolsas.com.br ";" bergamobolsas@bergamobolsas.com.br ";" Bolsas; "
"COURO ";" BENETTON ACESSÓRIOS ";" R. da Consolação, 2710 - CJ. 62 ";" Cerqueira César ";" 01416-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3061-3814 ";" (0xx11) 3083-7398 ";" www.benettonacessorios.com.br ";" benettonacessorios@terra.com.br ";" Acessórios; malas; mochilas e bolsas; "
"COURO ";" BIRÔ DA MODA LTDA. ";" R. Silva Pinto, 84 ";" Bom Retiro ";" 01126-010 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3333-3167/5848 ";" (0xx11) 3333-3167 ";" www.birodamoda.com.br ";" contato@obirodamoda.com.br ";" Bolsas; cintos; acessórios em couro e sintético; "
"COURO ";" BOLSAS STEPAN ";" R. Santa Clara, 391 ";" Brás ";" 03025-030 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6694-0507/1633/6693-5045 ";" (0xx11) 6693-5045 ";" www.bagscollection.com.br ";" bagsco@bagsco.com.br ";" Bolsas; "
"COURO ";" BRASIL COUROS COM. IMP. EXP. LTDA. ";" Av. Rangel Pestana, 1.281 ";" Brás ";" 03001-000 ";" São Paulo ";" SP ";" Dir. Coml.: Osvaldo ";7;" (0xx11) 3229-1938/5355 ";" (0xx11) 3229-7921 ";"  ";"  ";" Couro para estofamentos cintos, bolsas e calçados. "
"COURO ";" BRINDES TIP LTDA. ";" R. Profº Guilherme Belfort Sabino, 1.401 ";" ";" 04678-002 ";" São Paulo ";" SP ";" Dir. Sócio: Helmut Hueck ";200;" (0xx11) 5632-2000 ";" (0xx11) 5631-2000 ";" www.brindestip.com.br ";" brindestip@brindestip.com.br ";" Agendas; "
"COURO ";" CASA D'ARTE IND. E COM. DE ARTEFS. DE COURO LTDA. ";" R. Ministro Godoy, 1002 - Sobreloja ";" Perdizes ";" 05015-001 ";" São Paulo ";" SP ";" Dir. Coml.: Omar Ramon ";" ";" (0xx11) 3865-3221 ";" (0xx1) 3862-7147 ";" www.omar.srv.br ";"  ";" Artefatos de couros; "
"COURO ";" CASA ELIOT LTDA.-ME ";" Av. Onze de Junho, 994 ";" Vl. Clementino ";" 04041-003 ";" São Paulo ";" SP ";" Dir. Coml.: Mathew Pimentel ";" ";" (0xx11) 5084-7473 ";" (0xx11) 5571-2048 ";" www.ateliedocouro.com.br ";" sac@ateliedocouro.com.br ";" Serviços em couros; "
"COURO ";" COM. E IND. DE ARTEFS. DE COURO YPIRANGA LTDA. ";" R. Pedro Vicente, 480 ";" Luz ";" 01109-010 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3315-8444/3326-1268 ";" (0xx1) 3315-8444 ";"  ";"  ";" Artefatos de couro; "
"COURO ";" COMÉRCIO DE COUROS PARAÍSO LTDA. ";" Av. Rangel Pestana, 1227 ";" Brás ";" 03001-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3227-6599/3228-5934/3229-9459 ";" (0xx11) 3227-6599 ";" www.courosparaiso.com.br ";" courosparaiso@terra.com.br ";" Sola de couro; vaqueta; pelica; saltos; palmilhas em geral; "
"COURO ";" COMÉRCIO DE COUROS PARANÁ ";" R. Paes Leme, 74 ";" Pinheiros ";" 05424-010 ";" São Paulo ";" SP ";" Dir. Coml.: Junior ";5;" (0xx11) 3032-5727 ";" (0xx11) 3032-5727 ";"  ";" paranacouros@terra.com.br ";" Couro p/ vestuário e couro para calçados. "
"COURO ";" COMERCIAL SEMAX LTDA. ";" R. Plínio Ramos, 71 ";" Luz ";" 01027-010 ";" São Paulo ";" SP ";" Dir. Coml.: Yon Tin ";12;" (0xx11) 3229-1311 ";" (0xx11) 3228-7821 ";" www.arsoa.com.br ";" semax-merisul@uol.com.br ";" Guarda-chuvas; carteiras; mochilas; bolsas; sacolas; pastas;malas; "
"COURO ";" CONFECÇÕES DE MOCHILAS PAJINOR LTDA. ";" R. Leandro de Carvalho, 110 ";" Ipiranga ";" 01551-010 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6163-2114 ";" (0xx11) 6215-5597 ";" www.pajinor.com.br ";" pajinor@pajinor.com.br ";" Bolsas promocionais e femininas; "
"COURO ";" COUROS SANTO AMARO ";" Alameda Santo Amaro, 513 ";" Lgo. São Sebastião ";" 04745-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 5521-5709 ";" (0xx11) 5521-5709 ";" www.courosparaiso.com.br ";"  ";" Solas de couro; saltos; palmilha em geral; "
"COURO ";" COUROTEC ACESSÓRIOS COUROS TÉCNICOS LTDA. ";" R. do Manifesto, 1992 ";" Ipiranga ";" 04206-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 2272-0678/6914-8699 ";" (0xx11) 6914-8699 ";"  ";"  ";"  "
"COURO ";" CREAÇÕES D'ANELLO LTDA. ";" R. dos Italianos, 65/67 ";" Bom Retiro ";" 01131-000 ";" São Paulo ";" SP ";" Dir. Exec.: Francesco Danello ";100;" (0xx11) 3226-6444 ";" (0xx11) 3226-6450 ";" www.danello.com.br ";" danello@danello.com.br ";" Confecções em couro; "
"COURO ";" CRUZEIRO IND. DE MALAS E ARTEF. DE COURO LTDA. ";" R. Rosa Mafei, 360 ";" Bom Sucesso ";" 07177-110 ";" São Paulo ";" SP ";" Cont. Vendas: Marli ";240;" (0xx11) 6436-0177 ";" (0xx11) 6436-7020 ";" www.malascruzeiro.com.br ";" malas@malascruzeiro.com.br ";" malas; sacolas; bolsas; sapatos; mochilas; frasqueiras; "
"COURO ";" CRUZEIRO IND. DE MALAS E ARTEFS. DE COURO LTDA.-SHOW ROM ";" Alameda Iraé, 620 - Cj. 17 ";" ";" 04075-000 ";" São Paulo ";" SP ";" ";240;" (0xx11) 5051-0075 ";" (0xx11) 5052-9619 ";" www.malascruzeiro.com.br ";" marli@malas cruzeiro.com.br ";" Malas; sacolas; bolsas; sapatos; mochilas; frasqueiras; "
"COURO ";" DAGAZZUZ COUROS REPRESENTAÇÃO LTDA. ";" R. Otacilio Dias Fernandes, 935 ";" Jd. Samélio ";" 14405-138 ";" São Paulo ";" SP ";" Cont. Coml.: Daniel Guimarães Azzuz ";" ";" (0xx16) 3723-6095 ";" (0xx16) 3723-6095 ";"  ";" couroz@uol.com.br ";" Couros Bovinos em geral; "
"COURO ";" DAGO ARTFS. DE COURO LTDA ";" R. Enseada Itapacoróia, 330 ";" Itaim Paulista ";" 08111-200 ";" São Paulo ";" SP ";" Dir. Coml.: Nelson Simões ";30;" (0xx11) 6963-2563 ";" (0xx11) 6963-2563 ";" www.dago.com.br ";"  ";" Porta documentos, cigarreiras e carteiras ( tudo em couro). "
"COURO ";" DOMINI BOLSAS E CALÇADOS LTDA. ";" R. Forte dos Franceses, 248 ";" Pq. Indl. São Louren ";" 08340-150 ";" São Paulo ";" SP ";" Dir. Coml.: Tai Quang Nghia ";90;" (0xx11) 6111-9006 ";" (0xx11) 6117-9534 ";" www.yeppbrasil.com.br ";" sac@yeppbrasil.com.br ";" Bolsas; mochilas; calçados; pastas; carteiras; sacolas; necessaires; pochetes; malas de viagem e promocionais; "
"COURO ";" EDA FIENGO GOBBI ";" R. Dr. Alceu de Campos Rodrigues, 417 ";" Itaim Bibi ";" 04544-000 ";" São Paulo ";" SP ";" Dir. Coml.: Marcos Gobbi ";10;" (0xx11) 3849-3469 ";" (0xx11) 3849-3469 ";" www.fiengo.com.br ";" fiengo@fiengo.com.br ";" Bolsas femininas; carteiras; cintos; relógios; óculos; "
"COURO ";" EURO BAG COML. LTDA. ";" R. Backer, 89 ";" Cambuci ";" 01541-000 ";" São Paulo ";" SP ";" Dir. Coml.: Lairton ";10;" (0xx11) 3277-3842/3272-9690 ";" (0xx11) 3277-6048 ";" www.santino.com.br ";"  ";" Malas; mochilas; bolsas; pochetes; cintos; acessórios; "
"COURO ";" FÁBRICA DE LUVAS EVA LTDA ";" R. dos Italianos, 999 ";" Bom Retiro ";" 01131-000 ";" São Paulo ";" SP ";" Dir. Coml.: Wagner Cervi ";10;" (0xx11) 3221-6291/6711 ";" (0xx11) 3222-3844 ";" www.luvaseva.com.br ";" luvaseva@luvaseva.com.br ";" Luvas em couro. "
"COURO ";" FIRENZE - IND. E COM. DE CONFECÇÕES LTDA. ";" R. Ten. Coronel Soares Neiva, 540 ";" Vl. Aricanduva ";" 03503-000 ";" São Paulo ";" SP ";" Cont. Coml.: Nilza Castilho ";130;" (0xx11) 6192-4666 ";" (0xx11) 6192-4666 ";" www.smartbag.com.br ";" smartbag@smartbag.com.br ";" Bolsas de couro; pastas executivas; malas de viagem; "
"COURO ";" GALVANI IND. E COM. DE ARTEFS. COURO TOFIL LTDA. ";" R. Francisco Coimbra, 162 ";" Penha de França ";" 03639-000 ";" São Paulo ";" SP ";" Dir. Pres.: Antonio Edson Galvani ";" ";" (0xx11) 6646-5599 ";" (0xx1) 6646-5993 ";" www.galvani.com.br ";" brindes@galvani.com.br ";" Artefatos de couros; "
"COURO ";" GRAN LOTOY COM. E CONFECÇÃO LTDA. ";" R. Olinda, 280 ";" Socorro ";" 04761-020 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 5522-3377 ";" (0xx11) 5586-1165 ";" www.granlotoy.com.br ";" vendas@granlotoy.com.br ";" Acessórios de confecção; mochilas; bolsas e estojos porta treco; "
"COURO ";" IBRACOL IND. BRASILEIRA DE ARTEFS. DE COURO LTDA ";" R. São Caetano, 1.001/13 ";" Luz ";" 01104-001 ";" São Paulo ";" SP ";" Dir. Coml.: Romeu Sugaive ";35;" (0xx11) 3227-3577 ";" (0xx11) 3228-1916 ";"  ";" ibracol@aol.com ";" Malas; bolsas; cintos; sacos de viagem em couro; "
"COURO ";" INCOFIL ";" R. Siqueira Bueno, 2.507 ";" Belenzinho ";" 03173-010 ";" São Paulo ";" SP ";" Dirª. Coml.: Ester Strutz ";20;" (0xx11) 6605-6820 ";" (0xx11) 6605-6820 ";"  ";"  ";" Bolsas; cintos; "
"COURO ";" IND. DE ARTEFS. DE COURO DOIS JOTAS LTDA ";" R. Pedro Belegarde, 368 ";" Tatuapé ";" 03401-040 ";" São Paulo ";" SP ";" Dir. Coml.: Jairo Soares Savastano ";100;" (0xx11) 2296-7200 ";" (0xx11) 2296-1453 ";" www.doisjotas.com.br ";" doisjotas@doisjotas.com.br ";" Capas protetoras p/rádios, gravadores, calculadoras em couroe plásticos em geral; "
"COURO ";" IND. DE ARTEFS. DE COURO EDIO LTDA ";" R. Orlando Luiz Ribeiro, 32 ";" Jd. Colorado ";" 03387-060 ";" São Paulo ";" SP ";" Dir. Coml.: Waldemar Edio Mastini ";5;" (0xx11) 6211-9332/6104-3452 ";" (0xx11) 6105-2830 ";" www.ediomalotes.com.br ";" correio@ediomalotes.com.br ";" Malotes de couro e de lona. "
"COURO ";" IND. DE ARTEFS. DE COURO SÃO BENEDITO LTDA ";" Av. Alcantara Machado, 2102 ";" Bráz ";" 03102-002 ";" São Paulo ";" SP ";" Dir. Coml.: Valter Gomes da Silva ";60;" (0xx11) 6698-0025/6292-1346/6692-1248 ";" (0xx11) 6698-0025 ";" www.saobeneditopet.com.br ";"  ";" Peitorais; focinheiras; coleiras; guias de treinamento; "
"COURO ";" IND. DE ARTEFS. DE COURO SÃO BENEDITO LTDA. ";" R. Nova Trento, 301 ";" Vl. Formosa ";" 03366-020 ";" São Paulo ";" SP ";" Dir. Coml.: Valter Gomes da Silva ";70;" (0xx11) 6698-0025/6692-1248/6781-1900 ";" (0xx11) 6781-1900 ";" www.saobeneditopet.com.br ";" artefatos@saobeneditopet.com.br ";" Peitorais; focinheiras; coleiras; guias de treinamento; "
"COURO ";" IND. E COM. DE BOLSAS E ACES. STEPAN LTDA. ";" R. Santa Clara, 391 ";" Brás ";" 03025-030 ";" São Paulo ";" SP ";" ";" ";" (0xx11) -694-1635/0507/ ";" (0xx11) 6693-5045 ";" www.bagscollection.com.br ";" bagsco@bagsco.com.br ";" Bolsas; "
"COURO ";" INDIA FACTORY IMP. E EXP. LTDA. ";" R. 25 de Março, 575 - 11º And. ";" Mercado ";" 01021-200 ";" São Paulo ";" SP ";" Dirª. Coml.: Mirta ";20;" (0xx11) 3311-9888/3315-0801 ";" (0xx11) 3311-9900 ";" www.indiafactory.com.br ";" indiafactory@uol.com.br ";" Acessórios; bolsas; bijouterias; lenços bordados; cinturões;sandálias; roupas; "
"COURO ";" ISRACO IND. E COM. LTDA. ";" R. Major Paladino, 205 ";" Vl. Leopoldina ";" 05307-000 ";" São Paulo ";" SP ";" Dir. Coml.: Claudio Levi ";130;" (0xx11) 3641-1598/6842-4242 ";" (0xx11) 3641-6432 ";" www.lansay.com.br ";" info@lansay.com.br ";" Malas, pastas, mochilas e artefatos de couro. "
"COURO ";" IVO'S FURR ";" Av. Pompéia, 76 ";" Pompéia ";" 05022-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3864-4982/4441-4365 ";" (0xx11) 3862-4982 ";" www.ivosfur.com ";" atendimento@ivosfur.com ";" Calçados de pele sob medida; reformas, limpeza e consertos em pele e couro; "
"COURO ";" JINNY'S TRADING COMPANY LTDA. ";" R. Com. Abdo Schahin, 218 - 6º And. ";" Mercado ";" 01023-050 ";" São Paulo ";" SP ";" Dir. Coml.: Kil Soo Chang ";10;" (0xx11) 3326-4190 ";" (0xx11) 3326-3190 ";"  ";" jinnys@terra.com.br ";" Bijuterias; bolsas; semi-jóias; "
"COURO ";" JULIAN MACUIR IND. E COM. LTDA. ";" R. do Arouche, 144 ";" República ";" 01219-010 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3223-6577/3337-4733/3622-9091 ";" (0xx11) 3223-6577 ";" www.julianmarcuir.com.br ";"  ";" Bancos de couros; "
"COURO ";" K.R. COUROS LTDA. ";" R. Manoel de leiros, 379 ";" Vl. Penteado ";" 03893-000 ";" São Paulo ";" SP ";" Dir. Coml.: Wilson Campolango ";" ";" (0xx11) 6682-6431/6684-7469 ";" (0xx11) 6684-7469 ";"  ";" nimtz@nimtz.com.br ";" Artefs. de couro; carteiras; cintos; pastas; "
"COURO ";" KORUKRU IND. E COM. LTDA.-ME ";" R. Topázio, 380 ";" Aclimação ";" 04105-060 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3272-9774 ";" (0xx11) 3272-9774 ";"  ";" korukru-oliva@uol.com.br ";" Cintos femininos, masculinos e infantis e bolsas; "
"COURO ";" LA NOVITÁ COUROS LTDA. ";" R. Mateus Grou, 372 ";" Pinheiros ";" 05415-040 ";" São Paulo ";" SP ";" Dir. Coml.: Francisco Arbocesi ";10;" (0xx11) 3088-7400/3087-7300/5081-6000 ";" (0xx11) 3088-7890 ";" www.lanovita.com.br ";" lanovita@uol.com.br ";" Couro para estofamento de sofás bancos de automóveis. "
"COURO ";" LAEDER IND. E COM. E IMP. E EXP. LTDA. ";" R. Maria José, 119 ";" Bela Vista ";" 01324-010 ";" São Paulo ";" SP ";" Dir. Coml.: Pedro Glucksman ";" ";" (0xx11) 3104-1222 ";" (0xx11) 3106-5245 ";" www.laeder.com.br ";" laeder@laeder.com.br ";" Artefatos de couros; "
"COURO ";" LAZCO S/A ARTEFS. DE COURO ";" R. Correia Salgado, 244 ";" Ipiranga ";" 04267-020 ";" São Paulo ";" SP ";" Dir. Coml.: Carlos Leinz Lazzaro ";10;" (0xx11) 6215-6858 ";" (0xx11) 6914-7849 ";" www.lazco.ind.br ";" lazco@cinto.com.br ";" Chaveiros, cintos, carteiras, bolsas e maletas de couro, toda linha masculina. "
"COURO ";" LAZZARO ARTE EM COURO LTDA. ";" R. Correa Salgado, 244 ";" Ipiranga ";" 04267-020 ";" São Paulo ";" SP ";" Dir. Coml.: Carlos Lazzaro ";" ";" (0xx11) 6215-6858 ";" (0xx11) 6914-7849 ";" www.lazco.ind.br ";" lazco@cintos.com.br ";" Artefatos de couros; "
"COURO ";" LINGIARD COM. E IND. LTDA. ";" R. Arraial de São Bartolomeu, 509 ";" V. Carmosina ";" 08290-190 ";" São Paulo ";" SP ";" Dir. Pres.: Luiz Carlos Lingiardi ";110;" (0xx11) 6524-2511 ";" (0xx11) 6524-2511 ";" www.lingiard.com.br ";" lingiard@lingiard.com.br ";" Bolsas; carteiras; mochilas; artefatos de couro; "
"COURO ";" MALICE IND. E COM. DE ACESSÓRIOS LTDA. ";" R. Gandavo, 250 ";" Vl. Clementino ";" 04023-000 ";" São Paulo ";" SP ";" Cont. Coml.: Lilian Busquets ";12;" (0xx11) 5571-0150/1172 ";" (0xx11) 5571-0150 ";"  ";" correio@maliceacessorio.com.br ";" Bolsas femininas e masculinas, pastas, maletas, malas e artigos de viagem, sacolas. "
"COURO ";" MERCANTIL SUPER COURO LTDA. ";" R. Guaicurus, 1.499 - 2ºand. ";" ";" 05033-002 ";" São Paulo ";" SP ";" Dir. Pres.: Emanuel Benedek ";300;" (0xx11) 3864-1544 ";" (0xx11) 3872-4568 ";" www.germons.com.br ";"  ";" Bolsas; calçados; cintos; mala; "
"COURO ";" MIDNIGHT BOLSAS E EMBALAGENS ";" Av. Dr. Benedito Estevan dos Santos, 14 ";" Vl. Maria Alta ";" 02136-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6949-5439 ";" (0xx11) 6949-5439 ";" www.midnight.com.br ";" info@midnight.com.br ";" Bolsas e embalagens; "
"COURO ";" NTH BIJOUX ";" R. Varnhagem, 44 - S/ 58 ";" Mercado ";" 01022-010 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 3313-3076 ";" (0xx11) 3313-3076 ";" www.nth.com.br ";" nthbijoux25@yahoo.com.br ";" Bolsas e bijouterias finas; "
"COURO ";" O BIRÔ DA MODA LTDA. ";" R. Silva Pinto, 84 ";" Bom Retiro ";" 01126-010 ";" São Paulo ";" SP ";" Cont. Coml.: Nivaldo ";" ";" (0xx11) 3333-5848/6526 ";" (0xx11) 3333-6526 ";" www.obirodamoda.com.br ";" nivaldo@obirodamoda.com.br ";" Bolsas; cintos; acessórios em couro e sintético; "
"COURO ";" O FILIZZOLA & CIA. LTDA ";" R. Afonso Pena, 263 ";" Bom Retiro ";" 01124-000 ";" São Paulo ";" SP ";" Dir. Coml.: Luiz Carvalho ";20;" (0xx11) 3229-0833 ";" (0xx11) 3229-3897 ";" www.ofilizzola.com.br ";" ofilizzola@uol.com.br ";" Artefs. de couro p/inds; cintos e bolsas de couro; capacetesp/uso militar; "
"COURO ";" ORGANIZAÇÃO VEICER LTDA. ";" R. Quatá, 555 ";" Vl. Olimpía ";" 04546-043 ";" São Paulo ";" SP ";" Dir. Pres.: Sammy Veicer ";" ";" (0xx11) 3849-7477 ";" (0xx11) 3849-7477 ";" www.arvi.com.br ";"  ";" Artefatos de couros; "
"COURO ";" OSTRAL ARTEFS. DE COURO LTDA. ";" R. Catulo da Paixão Cearense, 73/69 ";" Saúde ";" 04145-010 ";" São Paulo ";" SP ";" Dir. Coml.: Eduardo Ossent ";" ";" (0xx11) 2577-6433/5594-3388 ";" (0xx11) 5071-9962 ";" www.ostral.com.br ";" ostral@ostral.com.br ";" Pulseira de couro p/ relógio; cintos de couro; "
"COURO ";" POLOKIN COM. IMP. E EXP. LTDA. ";" Av. Guilherme Giorgi, 783 ";" Vl. Carrão ";" 03422-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6192-5599 ";" (0xx11) 6192-5599 ";" www.luxcel.com.br ";" yida@netpoint.com.br ";" Malas; pasta; sacola; mochila; fichário e estojo; "
"COURO ";" PORTER COUROS IND. E COM. REPR. LTDA. ";" Av. Montemagno, 3140 ";" Vl. Formosa ";" 03371-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6911-7164/6910-6407 ";" (0xx11) 6910-6407 ";"  ";"  ";"  "
"COURO ";" PRIMICIA S/A IND. E COM. ";" Av. dos Carinás, 301 ";" Moema ";" 04086-902 ";" São Paulo ";" SP ";" Dir. Coml.: Henrique Daher ";300;" (0xx11) 5536-0822/6410 ";" (0xx11) 5533-6410 ";" www.primicia.com.br ";" primicia@attglobal.net ";" Malas, sacolas de viagem, bolsas femininas, pastas e maletasexecutivas, sacolas esportivas, pastas e mochilas escolares, artefs. "
"COURO ";" REAJ COMERCIAL E DISTRIBUIDORA LTDA. ";" R. Tupi, 397 - Cj. 33/34 ";" Sta. Cecília ";" 01233-001 ";" São Paulo ";" SP ";" Dir. Coml.: Alex de Souza ";10;" (0xx11) 3824-0153/9237 ";" (0xx11) 3663-3899 ";" www.reaj.com.br ";" reaj@terra.com.br ";" Carteiras; cintos; bolsas; pastas; carrinhos; mochilas; "
"COURO ";" SAMSONITE BRASIL LTDA. ";" R. Alexandre Dumas, 1.562 - 5º and. - Cj. 51 ";" Santo Amaro ";" 04717-004 ";" São Paulo ";" SP ";" Dir. Coml.: Ana Flavia ";20;" (0xx11) 5182-9830 ";" (0xx11) 5182-9830 ";" www.samsonite.com ";" samsonite@samsonite.com ";" Artefatos de couro, artigos de viagem, malas, pastas e sacolas. "
"COURO ";" SELARIA VILLAÇA LTDA.-ME ";" R. Bento Frias, 248 ";" Pinheiros ";" 05423-050 ";" São Paulo ";" SP ";" Dir. Coml.: Sérgio Sodré da Silva ";" ";" (0xx11) 3813-8752 ";" (0xx11) 3813-8752 ";" www.selariavillaca.com.br ";"  ";" Selas; encilhamentos; acessórios; chapéus; artigos p/ cavalos de corridas; "
"COURO ";" SESTINI MERCANTIL LTDA. ";" Av. Angélica, 2.318 - 14º and. ";" Higienópolis ";" 01228-200 ";" São Paulo ";" SP ";" Dir. Coml.: Pedro Lorenzetti ";30;" (0xx11) 3123-1600 ";" (0xx11) 3120-5254/3123-1601 ";" www.sestini.com.br ";" r.cabanal@sestini.com.br ";" Malas, carrinhos, sacolas, frasqueiras, mochilas, acessóriosde viagem, mochiletes, lancheiras. "
"COURO ";" SMART BAG ";" R. Tenente Cel. Soares Neiva, 540 ";" Vl. Aricanduva ";" 03503-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6192-4666 ";" (0xx11) 6192-4666 ";" www.smartbag.com.br ";" smartbag@smartbag.com.br ";" Bolsas de couro; pastas executivas; malas de viagem; "
"COURO ";" STEA COURUM IND. E COM. DE ACES. VESTUÁRIO LTDA. ";" Av. Engº Caetano Álvares, 765 ";" Limão ";" 02546-000 ";" São Paulo ";" SP ";" ";75;" (0xx11) 3966-2288 ";" (0xx11) 6975-2331/3966-2599 ";" www.tonys.com.br ";" tonys@tonys.com.br ";" Bolsas; mochilas; pastas; sacolas; fichários e estojos; "
"COURO ";" SUPREME & CHOICE ";" Av. José Maria Whitaker, 908 ";" Planalto Paulista ";" 04057-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 2276-7633 ";" (0xx11) 5589-0732 ";" www.supremechoice.com.br ";"  ";" Bolsas feminina, carteiras, acessórios, malas de viagem, pastas executivas, mochilas escolares e estojos escolares; "
"COURO ";" TOP TRADE - IND. E COM. IMP. E EXP. LTDA ";" R. Espartaco, 554/556 ";" Lapa ";" 05045-000 ";" São Paulo ";" SP ";" Dir. Coml.: Vilmar Douglas Hoepers ";18;" (0xx11) 3871-5847 ";" (0xx11) 3871-5680 ";"  ";"  ";" Bolsas em couro. "
"COURO ";" VICTTORIO LUGANO ARTEFS. DE COURO IND. E COM. LTDA. ";" R. Boa Esperança, 447-A ";" Ch. Sto. Antônio ";" 03408-000 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6198-1247 ";" (0xx11) 6197-9013 ";" www.victtoriolugano.com.br ";" atendimento@victtoriolugano.com.br ";" Bolsas; pastas e acessórios feminino; "
"COURO ";" WILSON IND. E COM. DE ARTEFS. LTDA.-ME ";" R. Vilela, 106 ";" Tatuapé ";" 03068-000 ";" São Paulo ";" SP ";" Cont. Coml.: Wilson ";" ";" (0xx11) 6941-4624 ";" (0xx11) 6941-4624 ";" www.wilsoncouros.com.br ";" wilsoncouros@wilsoncouros.com.br ";" Carteiras; cintos; maletas e pastas em couro; "
"COURO ";" YEPP BRASIL ";" R. Forte dos Franceses, 248 ";" Pq. Indl. S. Lourenç ";" 08340-150 ";" São Paulo ";" SP ";" ";" ";" (0xx11) 6111-9006 ";" (0xx11) 6111-9534 ";" www.yeppbrasil.com.br ";" sac@yeppbrasil.com.br ";" Bolsas; mochilas; calçados femininos e infantis; pastas; carteiras; sacolas;ponchetes; "
"COURO ";" YIDA COML. IMP. E EXP. LTDA. ";" Av. Guilherme Giorgi, 783 ";" Vl. Carrão ";" 03422-000 ";" São Paulo ";" SP ";" Dir. Exec.: Lu Feng ";" ";" (0xx11) 6192-5599 ";" (0xx11) 6192-5599 ";" www.luxcel.com.br ";" yida@netpoint.com.br ";" Malas; pastas; sacolas; mochilas; fichários e estojos; "
"PLASTICOS ";" A PLASTGLASS PLÁSTICOS INDIS. LTDA. ";" R. Simão Borges, 341 ";" Vila Maria ";" 02128-010 ";" São Paulo ";" SP ";" Dir. Coml.: Moisés Alves Vilas Boas ";7;" (0xx11) 6954-4207/6631-3506 ";" (0xx11) 6954-9751 ";" www.plasticopel.com.br ";" plasticopel@plasticopel.com.br ";" Plastico Bolha; Papelão ondulado; chapas e tarugos de aclílico; Nylon; Teflon; Celeron; "
"PLASTICOS ";" ABARET EMBALANGENS & BRINDES. ";" R. Julieta Notari Reis, 74 ";" Casa Verde ";" 02562-020 ";" São Paulo ";" SP ";" Dir. Coml.: Darío Sienra ";5;" (0xx11) 3955-0055 ";" (0xx11) 6955-0055 ";" www.abaret.com.br ";" abaret@abaret.com.br ";" Sacolas promocionais ( INT e Polietileno ) saquinhos impressos, Porta-Lixo p/ autos e bobinas; "
"PLASTICOS ";" AC PLAST IND COM. MOLDES EMBALAGENS LTDA. ";" R. Dr. Eurico Martins, 2-A ";" Vl. Granada ";" 03654-060 ";" São Paulo ";" SP ";" Dir. Coml.: Ivan Barbosa ";10;" (0xx11) 6957-3423/6687-0424 ";" (0xx11) 6957-3423 ";" www.acplast.com.br ";" acplast@acplast.com.br ";" Moldes plásticos; "
"PLASTICOS ";" ACP MERCANTIL INDL. LTDA. ";" R. Itaúnas, 1.081/1.101 ";" Vl. Maria ";" 02111-031 ";" São Paulo ";" SP ";" Cont. Compras: Denise ";70;" (0xx11) 6955-5020 ";" (0xx11) 6967-0259 ";" www.acpplasticos.com.br ";" acp@acpplasticos.com.br ";" Crachás; fichários; pastas; porta cartões; quadro de avisos;separador index; "
"PLASTICOS ";" ACRIRESINAS IND. BENEF. E COM. DE RESINAS ACRÍLICAS LTDA. ";" R. Vassoral, 226 ";" Socorro ";" 04776-020 ";" São Paulo ";" SP ";" Cont. Coml.: Salvatore Iannelli ";140;" (0xx11) 5521-9533 ";" (0xx11) 5521-1023 ";" www.acriresinas.com.br ";" acriresinas@acriresinas.com.br ";" Tubos sem costura; tarugos; blocos e peças especiais em acrílicos; "
